,category,categoryId,categoryName,categoryUrl,foodImageUrl,genre,mediumImageUrl,nickname,pickup,rank,recipeCost,recipeDescription,recipeId,recipeIndication,recipeMaterial,recipePublishday,recipeTitle,recipeUrl,shop,smallImageUrl,中華,他,和食,洋食
207,3.0,,かぼちゃ,https://recipe.rakuten.co.jp/category/12-448/,https://image.space.rakuten.co.jp/d/strg/ctrl/3/18853392216a5e7db4badefe2c1c26fd0b44a95e.81.1.3.2.jpg,2.0,https://image.space.rakuten.co.jp/d/strg/ctrl/3/18853392216a5e7db4badefe2c1c26fd0b44a95e.81.1.3.2.jpg?thum=54,RS10,0.0,2.0,指定なし,家で食べるなら、わざわざミキサー使わなくても、うらごししなくても十分だと思います。かぼちゃの自然な甘さが美味ですよー。,1110000172.0,指定なし,"['かぼちゃ', '水', '牛乳', 'コンソメ顆粒', '塩、こしょう', '生クリーム']",2010/12/04 14:39:05,ミキサー使わず★お手軽パンプキンスープ,https://recipe.rakuten.co.jp/recipe/1110000172/,0.0,https://image.space.rakuten.co.jp/d/strg/ctrl/3/18853392216a5e7db4badefe2c1c26fd0b44a95e.81.1.3.2.jpg?thum=55,0.0,0.0,0.0,1.0
480,3.0,,味噌汁,https://recipe.rakuten.co.jp/category/17-159/,https://image.space.rakuten.co.jp/d/strg/ctrl/3/dc99b682e0f50298d532c93be1a191de2103ce4c.01.2.3.2.jpg,1.0,https://image.space.rakuten.co.jp/d/strg/ctrl/3/dc99b682e0f50298d532c93be1a191de2103ce4c.01.2.3.2.jpg?thum=54,ぴろんぴろんさん,0.0,1.0,指定なし,"あらはマグロやサーモンなど油が乗ってる魚のだとコッテリうまー❤です！
味噌は出来れば赤だしと白味噌の合わせ味噌で。
なければ普通に家にあるお味噌でもＯＫ。",1140002729.0,指定なし,"['魚のあら', '大根', 'ニンジン', '長ネギ', '生姜', '味噌', '水', '酒']",2011/07/21 10:01:11,下処理が命！あら汁♪,https://recipe.rakuten.co.jp/recipe/1140002729/,0.0,https://image.space.rakuten.co.jp/d/strg/ctrl/3/dc99b682e0f50298d532c93be1a191de2103ce4c.01.2.3.2.jpg?thum=55,0.0,0.0,1.0,0.0
481,3.0,,味噌汁,https://recipe.rakuten.co.jp/category/17-159/,https://image.space.rakuten.co.jp/d/strg/ctrl/3/8fda8afc5bef263c4225c3ec25220b0c92fad7ca.86.2.3.2.jpg,1.0,https://image.space.rakuten.co.jp/d/strg/ctrl/3/8fda8afc5bef263c4225c3ec25220b0c92fad7ca.86.2.3.2.jpg?thum=54,aka.ru☆,0.0,2.0,300円前後,"冷蔵庫にあるお野菜をできるだけ沢山入れて具沢山にしました♪
なかなか野菜を沢山食べるのは難しいけれど、味噌汁にすれば簡単に食べられ、野菜の甘みが美味しいです＾＾",1210006653.0,約15分,"['さつまいも', 'かぶ', '人参', '白菜', 'ごぼう', 'ネギ', '油揚げ', '和風だしの素', '味噌', '水', '胡麻油']",2014/11/15 20:09:54,沢山お野菜がとれる！具だくさんの味噌汁♪,https://recipe.rakuten.co.jp/recipe/1210006653/,0.0,https://image.space.rakuten.co.jp/d/strg/ctrl/3/8fda8afc5bef263c4225c3ec25220b0c92fad7ca.86.2.3.2.jpg?thum=55,0.0,0.0,1.0,0.0
482,3.0,,味噌汁,https://recipe.rakuten.co.jp/category/17-159/,https://image.space.rakuten.co.jp/d/strg/ctrl/3/134faf5ba4d9020d790fe4c6916abf9019af260a.45.2.3.2.jpg,1.0,https://image.space.rakuten.co.jp/d/strg/ctrl/3/134faf5ba4d9020d790fe4c6916abf9019af260a.45.2.3.2.jpg?thum=54,oppeke22,0.0,3.0,100円以下,彩り鮮やかな味噌汁は～食欲をそそります。,1030013343.0,約15分,"['じゃがいも（大）', 'にんじん', '玉ねぎ', '水', '和風だしの素', '味噌', '青ネギ']",2019/06/22 15:48:10,根菜さん集合です！じゃがいもと人参と玉ねぎの味噌汁,https://recipe.rakuten.co.jp/recipe/1030013343/,0.0,https://image.space.rakuten.co.jp/d/strg/ctrl/3/134faf5ba4d9020d790fe4c6916abf9019af260a.45.2.3.2.jpg?thum=55,0.0,0.0,1.0,0.0
483,3.0,,豚汁,https://recipe.rakuten.co.jp/category/17-161/,https://image.space.rakuten.co.jp/d/strg/ctrl/3/2617b1c4821240cbc49bfb20bca4d36fcc909d55.20.1.3.2.jpg,1.0,https://image.space.rakuten.co.jp/d/strg/ctrl/3/2617b1c4821240cbc49bfb20bca4d36fcc909d55.20.1.3.2.jpg?thum=54,グルヤマ,0.0,1.0,500円前後,"油で炒めないカロリー控えめの豚汁です。
具だくさんなのでおかずのかわりにもなる一品です。",1570000909.0,約30分,"['豚肉（切り落とし）', '☆大根（イチョウ切り）', '☆にんじん（イチョウ切り）', '☆ごぼう（ささがき）', '☆しめじ（小房にわける）', '☆里芋（一口大に切る）', 'こんにゃく（細切り）', '油揚げ（細切り）', '長ネギ（みじん切り）', 'だし汁', '味噌', '酒', 'しょうゆ', 'みりん', '青ねぎ']",2011/01/30 12:43:04,油を使わない　”豚汁”,https://recipe.rakuten.co.jp/recipe/1570000909/,0.0,https://image.space.rakuten.co.jp/d/strg/ctrl/3/2617b1c4821240cbc49bfb20bca4d36fcc909d55.20.1.3.2.jpg?thum=55,0.0,0.0,1.0,0.0
484,3.0,,豚汁,https://recipe.rakuten.co.jp/category/17-161/,https://image.space.rakuten.co.jp/d/strg/ctrl/3/62ad4ae062720c014c2b2a47b376f298ad53c1fe.94.2.3.2.jpg,1.0,https://image.space.rakuten.co.jp/d/strg/ctrl/3/62ad4ae062720c014c2b2a47b376f298ad53c1fe.94.2.3.2.jpg?thum=54,すたーびんぐ,1.0,2.0,500円前後,"圧力鍋を使わない工程の動画アップしました☆
↓
https://youtu.be/Kha0V2R7b1A",1110008360.0,約15分,"['豚ばら肉', 'サツマイモ', '人参', '大根', 'たまねぎ', '長ネギ', '薄切りしたごぼう', 'だしパック', '↑無ければ昆布茶（又は昆布10ｃｍ1枚）', '水', '味噌', '（あれば）小葱の小口切り']",2013/10/03 22:54:23,野菜たっぷり♪さつまいもほっこり豚汁（レシピ動画）,https://recipe.rakuten.co.jp/recipe/1110008360/,0.0,https://image.space.rakuten.co.jp/d/strg/ctrl/3/62ad4ae062720c014c2b2a47b376f298ad53c1fe.94.2.3.2.jpg?thum=55,0.0,0.0,1.0,0.0
485,3.0,,豚汁,https://recipe.rakuten.co.jp/category/17-161/,https://image.space.rakuten.co.jp/d/strg/ctrl/3/03addc73b0c783af63f000d0824f7192ec5d9cc6.72.2.3.2.jpg,1.0,https://image.space.rakuten.co.jp/d/strg/ctrl/3/03addc73b0c783af63f000d0824f7192ec5d9cc6.72.2.3.2.jpg?thum=54,mywayu,1.0,3.0,500円前後,"根菜がたっぷりで体が温まる(*^^*)
具だくさんで栄養満点☆",1240012912.0,約30分,"['豚こま肉', '大根', '人参', '蓮根', '里芋', 'かぼちゃ', '小松菜', '蒟蒻', '油揚げ', '生姜', '顆粒だし', 'ごま油', '水']",2012/12/29 13:12:27,コクうま☆根菜たっぷりぽかぽか豚汁,https://recipe.rakuten.co.jp/recipe/1240012912/,0.0,https://image.space.rakuten.co.jp/d/strg/ctrl/3/03addc73b0c783af63f000d0824f7192ec5d9cc6.72.2.3.2.jpg?thum=55,0.0,0.0,1.0,0.0
486,3.0,,豚汁,https://recipe.rakuten.co.jp/category/17-161/,https://image.space.rakuten.co.jp/d/strg/ctrl/3/534e2b8dbf89d977ea78e8b0a9bec08fed662e1b.13.1.3.2.jpg,1.0,https://image.space.rakuten.co.jp/d/strg/ctrl/3/534e2b8dbf89d977ea78e8b0a9bec08fed662e1b.13.1.3.2.jpg?thum=54,hayasasa,0.0,4.0,500円前後,お肉がだしがらになってしまわないように、2段階に分けて材料を入れています。,1740000302.0,約30分,"['だいこん', 'にんじん', 'さといも', 'ごぼう', '豚肉', 'こんにゃく', '豆腐', '和風だし', 'みそ', 'ねぎ']",2010/12/01 01:04:07,あったかこくうま豚汁,https://recipe.rakuten.co.jp/recipe/1740000302/,0.0,https://image.space.rakuten.co.jp/d/strg/ctrl/3/534e2b8dbf89d977ea78e8b0a9bec08fed662e1b.13.1.3.2.jpg?thum=55,0.0,0.0,1.0,0.0
487,3.0,,けんちん汁,https://recipe.rakuten.co.jp/category/17-387/,https://image.space.rakuten.co.jp/d/strg/ctrl/3/ed19a0389eba4305ec673987d4ba19d2ff4ac8c9.93.2.3.2.jpg,1.0,https://image.space.rakuten.co.jp/d/strg/ctrl/3/ed19a0389eba4305ec673987d4ba19d2ff4ac8c9.93.2.3.2.jpg?thum=54,ねこすけ,0.0,1.0,指定なし,根菜、こんにゃく、豆腐、具が盛りだくさんのけんちん汁。私が子供の頃から慣れ親しんだ地元の郷土料理です。体がポカポカと温まりますよ。,1010018234.0,約30分,"['大根', '人参', '里芋', 'ごぼう', '木綿豆腐', 'こんにゃく', 'ごま油', '★水', '★だしの素（顆粒、粉末）', '★しょうゆ', '★酒', '★砂糖', '★塩']",2017/09/07 14:10:02,けんちん汁,https://recipe.rakuten.co.jp/recipe/1010018234/,0.0,https://image.space.rakuten.co.jp/d/strg/ctrl/3/ed19a0389eba4305ec673987d4ba19d2ff4ac8c9.93.2.3.2.jpg?thum=55,0.0,0.0,1.0,0.0
488,3.0,,けんちん汁,https://recipe.rakuten.co.jp/category/17-387/,https://image.space.rakuten.co.jp/d/strg/ctrl/3/3d61021766a85e41841f6d3b5f9e1c080a0d5ce2.70.2.3.2.jpg,1.0,https://image.space.rakuten.co.jp/d/strg/ctrl/3/3d61021766a85e41841f6d3b5f9e1c080a0d5ce2.70.2.3.2.jpg?thum=54,∂ネコの手∂,1.0,2.0,指定なし,結構手抜きなけんちん汁♪でもおいしいよ☆,1170008576.0,指定なし,"['鶏胸肉', 'れんこん', 'にんじん', 'こんにゃく（あく抜き）', 'まいたけ', '油揚げ', '麺つゆ（本つゆを使いました）', '水', '三つ葉', 'サラダオイル']",2013/10/09 00:44:06,定番！けんちん汁♪,https://recipe.rakuten.co.jp/recipe/1170008576/,0.0,https://image.space.rakuten.co.jp/d/strg/ctrl/3/3d61021766a85e41841f6d3b5f9e1c080a0d5ce2.70.2.3.2.jpg?thum=55,0.0,0.0,1.0,0.0
489,3.0,,けんちん汁,https://recipe.rakuten.co.jp/category/17-387/,https://image.space.rakuten.co.jp/d/strg/ctrl/3/0993c85263b25530539222ce8240f9e840c52c0a.69.2.3.2.jpg,1.0,https://image.space.rakuten.co.jp/d/strg/ctrl/3/0993c85263b25530539222ce8240f9e840c52c0a.69.2.3.2.jpg?thum=54,piromiaki,0.0,3.0,500円前後,たくさん作って次の日の朝食にも良いですね☆,1280002914.0,約30分,"['里芋', '鶏もも肉', '大根', 'にんじん', '木綿豆腐', 'こんにゃく', 'しいたけ', 'ダシ汁', '醤油・酒', '塩', 'ゴマ油']",2011/10/29 21:36:52,けんちん汁,https://recipe.rakuten.co.jp/recipe/1280002914/,0.0,https://image.space.rakuten.co.jp/d/strg/ctrl/3/0993c85263b25530539222ce8240f9e840c52c0a.69.2.3.2.jpg?thum=55,0.0,0.0,1.0,0.0
490,3.0,,けんちん汁,https://recipe.rakuten.co.jp/category/17-387/,https://image.space.rakuten.co.jp/d/strg/ctrl/3/1a8a5a4d14bb021123600150b37b366042614b7a.98.2.3.2.jpg,1.0,https://image.space.rakuten.co.jp/d/strg/ctrl/3/1a8a5a4d14bb021123600150b37b366042614b7a.98.2.3.2.jpg?thum=54,かばぽん^^,0.0,4.0,300円前後,"野菜がたっぷりの食べる汁物です。
関東では節分にけんちん汁を食べる習慣があるとか。
もちろん普段にもどうぞ。
めんつゆを使うので簡単です。",1580017779.0,約30分,"['にんじん', '大根', '里芋', 'ごぼう', 'こんにゃく', '水', 'めんつゆ(3倍濃縮)', 'ねぎの小口切り']",2012/02/03 12:11:26,野菜たっぷりけんちん汁,https://recipe.rakuten.co.jp/recipe/1580017779/,0.0,https://image.space.rakuten.co.jp/d/strg/ctrl/3/1a8a5a4d14bb021123600150b37b366042614b7a.98.2.3.2.jpg?thum=55,0.0,0.0,1.0,0.0
491,3.0,,お吸い物,https://recipe.rakuten.co.jp/category/17-160/,https://image.space.rakuten.co.jp/d/strg/ctrl/3/97db5df21095777c70c350612319750f66eb0df4.20.2.3.2.jpg,1.0,https://image.space.rakuten.co.jp/d/strg/ctrl/3/97db5df21095777c70c350612319750f66eb0df4.20.2.3.2.jpg?thum=54,グルヤマ,0.0,3.0,指定なし,敷居が高そうな鯛めしですが、鯛のアラを使えば気軽にお安く作れます。鯛のアラでとったダシを使って鯛めしとお吸い物2品が同時に作れます。,1570011221.0,約1時間,"['鯛のあら', '米', '☆薄口しょうゆ、みりん、酒', '☆炊飯用昆布', '☆塩', '三つ葉（青ねぎでも可）', '白ごま', 'だし用昆布', 'だし用鰹節', '＜お吸い物＞', '鯛のあらでとったダシ', '酒', '薄口しょうゆ', '塩', '豆腐', 'カマボコ', '青さのり（あれば・・生、乾燥どちらでも）', '三つ葉、青ねぎなど']",2015/01/12 18:28:27,鯛のアラ de 作る♪鯛めし＆お吸い物,https://recipe.rakuten.co.jp/recipe/1570011221/,0.0,https://image.space.rakuten.co.jp/d/strg/ctrl/3/97db5df21095777c70c350612319750f66eb0df4.20.2.3.2.jpg?thum=55,0.0,0.0,1.0,0.0
492,3.0,,お吸い物,https://recipe.rakuten.co.jp/category/17-160/,https://image.space.rakuten.co.jp/d/strg/ctrl/3/c668a3fe9ad03ee8b5cea898b40ffe76bbdeeb78.47.2.3.2.jpg,1.0,https://image.space.rakuten.co.jp/d/strg/ctrl/3/c668a3fe9ad03ee8b5cea898b40ffe76bbdeeb78.47.2.3.2.jpg?thum=54,グミ好き32♪♪,0.0,4.0,300円前後,シンプルな味付けですが、たまに食べたくなる定番のおすましです(^^),1900012073.0,約10分,"['ほうれん草', '卵', 'だしの素', 'みりん', 'しょうゆ', '塩', '水']",2015/03/13 22:10:50,ほうれん草と卵のすまし汁,https://recipe.rakuten.co.jp/recipe/1900012073/,0.0,https://image.space.rakuten.co.jp/d/strg/ctrl/3/c668a3fe9ad03ee8b5cea898b40ffe76bbdeeb78.47.2.3.2.jpg?thum=55,0.0,0.0,1.0,0.0
493,3.0,,かぼちゃスープ,https://recipe.rakuten.co.jp/category/17-388/,https://image.space.rakuten.co.jp/d/strg/ctrl/3/d413fe493fa6eb4b41573e16d01724a00c84ba40.32.2.3.2.jpg,2.0,https://image.space.rakuten.co.jp/d/strg/ctrl/3/d413fe493fa6eb4b41573e16d01724a00c84ba40.32.2.3.2.jpg?thum=54,あずきレシピ,0.0,2.0,300円前後,"カボチャが旬の時期に作ると、素材の甘みがたくさん感じられます！！甘いカボチャであればお砂糖なしもOK！かぼちゃスープ♡
クリスマスパーティーにもぴったり♡",1830005904.0,約30分,"['カボチャ', '玉ねぎ', 'バター', '★水', '★コンソメ', '★お砂糖（カボチャが甘ければ不要）', '★醤油', '牛乳', 'オリーブオイル']",2015/11/10 17:36:23,濃厚！必ず褒められる！絶品簡単かぼちゃのスープ♡,https://recipe.rakuten.co.jp/recipe/1830005904/,0.0,https://image.space.rakuten.co.jp/d/strg/ctrl/3/d413fe493fa6eb4b41573e16d01724a00c84ba40.32.2.3.2.jpg?thum=55,0.0,0.0,0.0,1.0
494,3.0,,かぼちゃスープ,https://recipe.rakuten.co.jp/category/17-388/,https://image.space.rakuten.co.jp/d/strg/ctrl/3/8c023236d58aab3e87c44a57631edb6de23987c7.26.2.3.2.jpg,2.0,https://image.space.rakuten.co.jp/d/strg/ctrl/3/8c023236d58aab3e87c44a57631edb6de23987c7.26.2.3.2.jpg?thum=54,arakurea,1.0,3.0,300円前後,"玉ねぎを加えて更に美味しいかぼちゃスープです！
温めても冷やしても美味しいですよ(^^♪
少し煮詰めてポタージュ風にしても美味しいです♪",1780009757.0,約1時間,"['かぼちゃ', '玉ねぎ', 'バター又はマーガリン', '水', '牛乳', 'コンソメ', '塩']",2012/09/09 19:52:25,かぼちゃのスープ♪,https://recipe.rakuten.co.jp/recipe/1780009757/,0.0,https://image.space.rakuten.co.jp/d/strg/ctrl/3/8c023236d58aab3e87c44a57631edb6de23987c7.26.2.3.2.jpg?thum=55,0.0,0.0,0.0,1.0
495,3.0,,かぼちゃスープ,https://recipe.rakuten.co.jp/category/17-388/,https://image.space.rakuten.co.jp/d/strg/ctrl/3/1c4ded6af5dd8e0a07efa16bb0f306675d7162ce.51.2.3.2.jpg,2.0,https://image.space.rakuten.co.jp/d/strg/ctrl/3/1c4ded6af5dd8e0a07efa16bb0f306675d7162ce.51.2.3.2.jpg?thum=54,ぼくバナナ,0.0,4.0,300円前後,とにかく簡単に！でも美味しく(o^^o)皮ごと使って少々固形のかぼちゃが残っても食感をたのしんで♪後片付けも楽チンです。,1540017186.0,約30分,"['かぼちゃ', '小麦粉', '牛乳', 'バター', 'コンソメ', '塩', '乾燥パセリ']",2019/03/02 13:53:20,ミキサー不要！皮ごと使って濃厚簡単カボチャスープ♪,https://recipe.rakuten.co.jp/recipe/1540017186/,0.0,https://image.space.rakuten.co.jp/d/strg/ctrl/3/1c4ded6af5dd8e0a07efa16bb0f306675d7162ce.51.2.3.2.jpg?thum=55,0.0,0.0,0.0,1.0
